Sample_Date,Mean viral gene copies/L
2/7/22,8529018
2/8/22,8529018
2/9/22,7225468.7
2/10/22,7965901
2/13/22,5861100
2/14/22,5214044.8
2/15/22,3705093.9
2/16/22,3022118.4
2/17/22,3461810.6
2/20/22,978766.9
2/22/22,952535
2/23/22,831551.4
2/24/22,725934.2
2/25/22,633731.7
2/28/22,625181.7
3/1/22,499654.4
3/2/22,592119.7
3/4/22,496272.4
3/7/22,534768.3
3/8/22,627256.9
3/9/22,523982.6
3/10/22,542081.8
3/11/22,572349.8
3/14/22,655621.8
3/15/22,687544.1
3/16/22,696946.9
3/17/22,751009.1
3/18/22,721020.6
3/21/22,872039.7
3/22/22,842923.7
3/23/22,902161.3
3/24/22,939683.8
3/25/22,998766.9
3/28/22,933323.4
3/29/22,898495.1
3/30/22,878528.6
4/1/22,786906.5
4/4/22,725317.3
4/5/22,723974.7
4/6/22,755186
4/7/22,794775.6
4/8/22,760329.6
4/12/22,735862.1
4/13/22,729394.7
4/14/22,757075.7
4/15/22,734655.8
4/18/22,758010
4/19/22,772455
4/20/22,789612
4/21/22,792454.2
4/22/22,807619
4/25/22,852539.6
4/28/22,848668.1
5/2/22,889436.5
5/3/22,871497.5
5/5/22,901600.5
5/6/22,904307.9
5/9/22,906216.9
5/17/22,920367.6
5/19/22,967147.4
5/20/22,948173.4
5/23/22,993781.8
5/24/22,1000554.2
5/25/22,1021149.7
5/26/22,1085514.8
5/29/22,1294653.2
6/1/22,1321824.8
6/2/22,1434065.5
6/3/22,1665175.4
6/6/22,1631590.7
6/14/22,1531431.2
6/15/22,1412398.5
6/16/22,1383100.1
6/20/22,1225145
6/21/22,1573605.5
6/22/22,1584329.3
6/23/22,1605996.6
6/27/22,1720350.6
7/7/22,1954745.0
7/8/22,2243418.2
7/11/22,1854745.0
