Date,Omicron,Delta,Alpha,BA.1,BA.1.1.X,BA.2.X,BA.2.12.X,BA.4.X,BA.5.X,BA.2.75,BA.4.6,BQ.1.X,BQ.1.1.X,BF.7.X,XBB.X,XBB.1.5.X,Recombinants,XBB.1.9.X,XBB.1.16.X,XBB.2.3.X,EG.5.X,BA.2.86.X,HV.1.X,JN.1.X
4/9/22,99.4,0.0,0,0,8.2,73.1,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/15/22,99.2,0.0,0,0,3.7,72.1,22.5,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/25/22,99.5,0.0,0,0,0.7,60.5,38.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5/2/22,99.2,0.0,0,0,0.0,56.8,41.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5/9/22,97.5,0.0,0,0,0.0,47.8,48.6,0.8,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5/17/22,97.6,0.0,0,0,0.0,42.0,53.9,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5/23/22,97.4,0.0,0,0,0.0,30.9,64.2,1.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6/5/22,97.9,0.0,0,0,0.0,31.5,55.4,4.8,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6/10/22,97.4,0.0,0,0,0.0,30.2,54.1,5.4,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6/14/22,97.6,0.0,0,0,0.0,28.4,48.1,9.1,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6/28/22,97.5,0.0,0,0,0.0,8.0,24.1,11.9,53.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/6/22,96.9,0.0,0,0,0.0,2.7,9.0,6.1,78.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/8/22,96.8,0.0,0,0,0.0,1.5,9.2,8.5,74.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/11/22,96.5,0.0,0,0,0.0,4.1,4.2,5.0,77.9,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/13/22,96.8,0.0,0,0,0.0,3.5,5.4,8.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
